aileron,elevator,rudder,flaps,slats,speedbrake,throttle,engine-pump0,engine-pump1,electric-pump0,electric-pump1,external-power,APU-generator,latitude-deg,longitude-deg,altitude-ft,roll-deg,pitch-deg,heading-deg,side-slip-deg,airspeed-kt,glideslope,vertical-speed-fps,airspeed-indicator_indicated-speed-kt,altimeter_indicated-altitude-ft,altimeter_pressure-alt-ft,attitude-indicator_indicated-pitch-deg,attitude-indicator_indicated-roll-deg,attitude-indicator_internal-pitch-deg,attitude-indicator_internal-roll-deg,encoder_indicated-altitude-ft,encoder_pressure-alt-ft,gps_indicated-altitude-ft,gps_indicated-ground-speed-kt,gps_indicated-vertical-speed,indicated-heading-offset-deg,indicated-heading-deg,magnetic-compass_indicated-heading-deg,slip-skid-ball_indicated-slip-skid,turn-indicator_indicated-turn-rate,vertical-speed-indicator_indicated-speed-fpm,engine_rpm
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.18768176E8,2.18768176E8,2.18768192E8,2.18768192E8,2.1876824E8,2.18768272E8,63.990078,-22.584805,1178.7112,-48.657375,2.086468,38.93797,-1.224841,110.86384,0.008453,1.679429,110.790535,1143.4023,755.507,2.086048,-48.95644,2.086048,-48.95644,760.0001,760.0,1178.7112,111.87344,125.91625,12.868052,51.872868,75.86847,0.24696,-2.5,117.45735,2729.5298
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.18768176E8,2.18768176E8,2.18768192E8,2.18768192E8,2.1876824E8,2.18768272E8,63.99012,-22.58473,1178.9236,-48.603085,2.096485,37.893974,-1.22296,110.9509,0.008651,1.721104,110.87704,1143.6093,755.714,2.095954,-48.893383,2.095954,-48.893383,760.0001,760.0,1178.9236,111.9895,128.75626,12.868052,50.82886,75.61848,0.246575,-2.5,121.844185,2729.81
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.18768176E8,2.18768176E8,2.18768192E8,2.18768192E8,2.1876824E8,2.18768272E8,63.990166,-22.584658,1179.1411,-48.548893,2.108782,36.85022,-1.221108,111.036964,0.008888,1.770398,110.96317,1143.8173,755.92194,2.10814,-48.830566,2.10814,-48.830566,760.0001,760.0,1179.1411,112.106224,132.04565,12.868052,49.785088,75.3718,0.246192,-2.5,124.03203,2730.0896
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.18768176E8,2.18768176E8,2.18768192E8,2.18768192E8,2.1876824E8,2.18768272E8,63.99021,-22.584587,1179.3645,-48.49484,2.123343,35.806705,-1.219285,111.12196,0.009162,1.827271,111.04781,1144.0262,756.13086,2.122592,-48.768036,2.122592,-48.768036,760.0001,760.0,1179.3645,112.22354,135.78192,12.868052,48.74156,75.12841,0.245812,-2.5,125.861084,2730.368
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.18768176E8,2.18768176E8,2.18768192E8,2.18768192E8,2.1876824E8,2.18768272E8,63.990257,-22.584518,1179.5945,-48.440964,2.14015,34.76344,-1.21749,111.20583,0.009474,1.891678,111.13161,1144.2451,756.34973,2.139291,-48.705837,2.139291,-48.705837,760.0001,760.0,1179.5945,112.34139,139.97206,12.868052,47.698277,74.888245,0.245434,-2.5,129.50832,2730.645
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.18768176E8,2.18768176E8,2.18768192E8,2.18768192E8,2.1876824E8,2.18768272E8,63.990303,-22.58445,1179.8319,-48.387306,2.159184,33.72042,-1.215724,111.28851,0.009822,1.963567,111.21408,1144.469,756.5737,2.158217,-48.64402,2.158217,-48.64402,760.0001,760.0,1179.8319,112.459724,144.58311,12.868052,46.655243,74.65126,0.245058,-2.5,132.80382,2730.9207
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.18768176E8,2.18768176E8,2.18768192E8,2.18768192E8,2.1876824E8,2.18768272E8,63.99035,-22.584385,1180.0774,-48.33391,2.180424,32.677654,-1.213985,111.369934,0.010207,2.042879,111.29518,1144.6996,756.8043,2.179351,-48.582626,2.179351,-48.582626,760.0001,760.0,1180.0774,112.57847,149.6412,12.868052,45.61246,74.417435,0.244686,-2.5,136.46225,2731.1946
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.18768176E8,2.18768176E8,2.18768192E8,2.18768192E8,2.1876824E8,2.18768272E8,63.990395,-22.584322,1180.3317,-48.280815,2.203848,31.635145,-1.212275,111.45004,0.010628,2.129548,111.3749,1144.9379,757.04254,2.202668,-48.5217,2.202668,-48.5217,760.0001,760.0,1180.3317,112.69757,155.13234,12.868052,44.569935,74.18672,0.244316,-2.5,140.59041,2731.4668
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.18768176E8,2.18768176E8,2.18768192E8,2.18768192E8,2.1876824E8,2.18768272E8,63.990444,-22.584259,1180.5955,-48.22806,2.22943,30.592892,-1.210593,111.52877,0.011085,2.223505,111.45318,1145.1846,757.28925,2.228147,-48.461292,2.228147,-48.461292,760.0001,760.0,1180.5955,112.81697,161.0522,12.868052,43.527664,73.9591,0.243949,-2.5,145.1675,2731.7368
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.18768176E8,2.18768176E8,2.18768192E8,2.18768192E8,2.1876824E8,2.18768272E8,63.99049,-22.5842,1180.8696,-48.17569,2.257147,29.550901,-1.20894,111.606064,0.011577,2.324669,111.52997,1145.4404,757.54517,2.25576,-48.401443,2.25576,-48.401443,760.0001,760.0,1180.8696,112.9366,167.39589,12.868052,42.485657,73.734535,0.243586,-2.5,150.1597,2732.0046
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.18768176E8,2.18768176E8,2.18768192E8,2.18768192E8,2.1876824E8,2.18768272E8,63.99054,-22.584143,1181.1547,-48.123745,2.28697,28.509172,-1.207317,111.681854,0.012103,2.432959,111.6052,1145.7063,757.811,2.285482,-48.342194,2.285482,-48.342194,760.0001,760.0,1181.1547,113.0564,174.1584,12.868052,41.443913,73.51301,0.243227,-2.5,155.54184,2732.27
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.18768176E8,2.18768176E8,2.18768192E8,2.18768192E8,2.1876824E8,2.18768272E8,63.99059,-22.584085,1181.4513,-48.072258,2.318873,27.467712,-1.205725,111.756096,0.012664,2.548283,111.67884,1145.9827,758.08734,2.317285,-48.28359,2.317285,-48.28359,760.0001,760.0,1181.4513,113.1763,181.33394,12.868052,40.40243,73.29451,0.242871,-2.5,161.29631,2732.533
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.18768176E8,2.18768176E8,2.18768192E8,2.18768192E8,2.1876824E8,2.18768272E8,63.99064,-22.584032,1181.7604,-48.02128,2.352825,26.42652,-1.204165,111.82873,0.013258,2.670545,111.75081,1146.2703,758.375,2.351138,-48.225666,2.351138,-48.225666,760.0001,760.0,1181.7604,113.29625,188.92679,12.868052,39.36122,73.07901,0.24252,-2.5,167.41057,2732.793
