aileron,elevator,rudder,flaps,slats,speedbrake,throttle,engine-pump0,engine-pump1,electric-pump0,electric-pump1,external-power,APU-generator,latitude-deg,longitude-deg,altitude-ft,roll-deg,pitch-deg,heading-deg,side-slip-deg,airspeed-kt,glideslope,vertical-speed-fps,airspeed-indicator_indicated-speed-kt,altimeter_indicated-altitude-ft,altimeter_pressure-alt-ft,attitude-indicator_indicated-pitch-deg,attitude-indicator_indicated-roll-deg,attitude-indicator_internal-pitch-deg,attitude-indicator_internal-roll-deg,encoder_indicated-altitude-ft,encoder_pressure-alt-ft,gps_indicated-altitude-ft,gps_indicated-ground-speed-kt,gps_indicated-vertical-speed,indicated-heading-deg,magnetic-compass_indicated-heading-deg,slip-skid-ball_indicated-slip-skid,turn-indicator_indicated-turn-rate,vertical-speed-indicator_indicated-speed-fpm,engine_rpm
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.501804E8,2.501804E8,2.50180416E8,2.50180416E8,2.50180464E8,2.50180496E8,63.99135,-22.605307,147.00584,0.044823,4.909042,166.32445,-1.761188,22.098358,0.007025,0.231491,21.964512,140.22794,-247.6674,4.909058,0.044802,4.909058,0.044802,-249.99986,-250.0,147.00584,10.751053,8.777371,179.23448,183.55688,-0.378335,-0.703926,18.881523,2168.7515
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.501804E8,2.501804E8,2.50180416E8,2.50180416E8,2.50180464E8,2.50180496E8,63.991344,-22.605305,147.01318,0.045049,4.90886,166.17827,-1.72163,22.241524,0.007025,0.233195,22.107502,140.23494,-247.6604,4.90888,0.045025,4.90888,0.045025,-249.99986,-250.0,147.01318,10.839163,8.841141,179.08852,183.44849,-0.386757,-0.71065,13.057872,2173.557
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.501804E8,2.501804E8,2.50180416E8,2.50180416E8,2.50180464E8,2.50180496E8,63.99134,-22.605303,147.02058,0.045296,4.908634,166.03085,-1.682201,22.385344,0.007023,0.234853,22.251148,140.24202,-247.65334,4.908658,0.04527,4.908658,0.04527,-249.99986,-250.0,147.02058,10.927829,8.909807,178.94131,183.33948,-0.391023,-0.717411,18.915636,2178.1726
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.501804E8,2.501804E8,2.50180416E8,2.50180416E8,2.50180464E8,2.50180496E8,63.991337,-22.605299,147.02805,0.045567,4.908361,165.88222,-1.642904,22.529802,0.007005,0.235953,22.395414,140.24913,-247.64621,4.908391,0.045538,4.908391,0.045538,-249.99986,-250.0,147.02805,11.017052,8.975622,178.79288,183.22984,-0.399659,-0.724206,14.136744,2182.605
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.501804E8,2.501804E8,2.50180416E8,2.50180416E8,2.50180464E8,2.50180496E8,63.991333,-22.605297,147.03554,0.045864,4.90751,165.73238,-1.603857,22.67486,0.007005,0.237682,22.540302,140.2563,-247.63904,4.907619,0.045834,4.907619,0.045834,-249.99986,-250.0,147.03554,11.106832,9.024196,178.64291,183.11957,-0.404043,-0.731027,20.35021,2186.86
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.501804E8,2.501804E8,2.50180416E8,2.50180416E8,2.50180464E8,2.50180496E8,63.991325,-22.605295,147.04309,0.046171,4.906169,165.58138,-1.564915,22.820488,0.007005,0.239383,22.68579,140.2635,-247.63184,4.906315,0.04614,4.906315,0.04614,-249.99986,-250.0,147.04309,11.197169,9.086891,178.49208,183.00865,-0.412892,-0.737873,16.082657,2190.9438
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.501804E8,2.501804E8,2.50180416E8,2.50180416E8,2.50180464E8,2.50180496E8,63.99132,-22.605291,147.05067,0.046632,4.90467,165.42921,-1.525871,22.966679,0.006977,0.24017,22.831814,140.27077,-247.62457,4.904819,0.046558,4.904819,0.046558,-249.99986,-250.0,147.05067,11.288064,9.170015,178.34012,182.8971,-0.417361,-0.744732,22.539516,2194.8628
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.501804E8,2.501804E8,2.50180416E8,2.50180416E8,2.50180464E8,2.50180496E8,63.991318,-22.60529,147.05827,0.04757,4.903442,165.27592,-1.48678,23.113405,0.006952,0.241021,22.978968,140.27768,-247.61766,4.903553,0.047496,4.903553,0.047496,-249.99986,-250.0,147.05827,11.379517,9.188297,178.18703,182.7849,-0.426348,-0.751602,17.415873,2198.6228
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.501804E8,2.501804E8,2.50180416E8,2.50180416E8,2.50180464E8,2.50180496E8,63.991314,-22.605286,147.06717,0.048078,4.902536,165.09566,-1.44196,23.285212,0.006952,0.243056,23.149923,140.2863,-247.60904,4.902605,0.048037,4.902605,0.048037,-249.99986,-250.0,147.06717,11.486916,9.186821,178.00697,182.65317,-0.435511,-0.759648,18.964268,2202.8162
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.501804E8,2.501804E8,2.50180416E8,2.50180416E8,2.50180464E8,2.50180496E8,63.991306,-22.605284,147.07486,0.048481,4.901938,164.93997,-1.403764,23.432976,0.006951,0.244759,23.297508,140.2938,-247.60156,4.901997,0.04844,4.901997,0.04844,-249.99986,-250.0,147.07486,11.579574,9.252469,177.85118,182.53954,-0.440131,-0.766552,15.018124,2206.252
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.501804E8,2.501804E8,2.50180416E8,2.50180416E8,2.50180464E8,2.50180496E8,63.991302,-22.605282,147.08131,0.048821,4.901463,164.80943,-1.372072,23.556448,0.006949,0.246148,23.42087,140.30005,-247.59529,4.90152,0.04878,4.90152,0.04878,-249.99986,-250.0,147.08131,11.657214,9.31352,177.72073,182.44434,-0.444771,-0.772305,18.90002,2209.0076
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.501804E8,2.501804E8,2.50180416E8,2.50180416E8,2.50180464E8,2.50180496E8,63.9913,-22.605278,147.08911,0.049235,4.900875,164.65187,-1.334218,23.705,0.006948,0.247852,23.569296,140.30753,-247.58781,4.900936,0.049193,4.900936,0.049193,-249.99986,-250.0,147.08911,11.750889,9.377826,177.56334,182.32947,-0.454118,-0.779205,14.123264,2212.19
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.501804E8,2.501804E8,2.50180416E8,2.50180416E8,2.50180464E8,2.50180496E8,63.991295,-22.605276,147.09695,0.049647,4.900252,164.49332,-1.296562,23.853947,0.006947,0.24956,23.718082,140.31503,-247.5803,4.900316,0.049606,4.900316,0.049606,-249.99986,-250.0,147.09695,11.845118,9.445687,177.40495,182.21393,-0.458822,-0.786097,22.68183,2215.2422
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.501804E8,2.501804E8,2.50180416E8,2.50180416E8,2.50180464E8,2.50180496E8,63.99129,-22.605272,147.10486,0.050065,4.89959,164.33379,-1.259103,24.003271,0.006945,0.251252,23.867233,140.32257,-247.57277,4.899658,0.050022,4.899658,0.050022,-249.99986,-250.0,147.10486,11.939898,9.51157,177.2456,182.09769,-0.468277,-0.792976,19.41357,2218.1694
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.501804E8,2.501804E8,2.50180416E8,2.50180416E8,2.50180464E8,2.50180496E8,63.991283,-22.60527,147.11282,0.05048,4.898884,164.17332,-1.221851,24.152952,0.006943,0.252944,24.016735,140.33017,-247.56517,4.898957,0.050437,4.898957,0.050437,-249.99986,-250.0,147.11282,12.035227,9.575473,177.08531,181.98076,-0.473031,-0.799839,18.906094,2220.977
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.501804E8,2.501804E8,2.50180416E8,2.50180416E8,2.50180464E8,2.50180496E8,63.99128,-22.605267,147.12083,0.050895,4.898138,164.01196,-1.18481,24.302969,0.006942,0.254646,24.166567,140.3378,-247.55754,4.898213,0.050854,4.898213,0.050854,-249.99986,-250.0,147.12083,12.131104,9.644442,176.92375,181.86313,-0.482585,-0.806681,14.508578,2223.67
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.501804E8,2.501804E8,2.50180416E8,2.50180416E8,2.50180464E8,2.50180496E8,63.991276,-22.605263,147.1289,0.05131,4.897352,163.84972,-1.147985,24.453302,0.00694,0.256356,24.316713,140.34549,-247.54985,4.897432,0.051269,4.897432,0.051269,-249.99986,-250.0,147.1289,12.227527,9.711129,176.76164,181.7448,-0.487384,-0.813499,13.704873,2226.253
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.501804E8,2.501804E8,2.50180416E8,2.50180416E8,2.50180464E8,2.50180496E8,63.991272,-22.60526,147.13432,0.051585,4.896807,163.74107,-1.123514,24.553705,0.006915,0.256604,24.416965,140.35065,-247.5447,4.896889,0.051544,4.896889,0.051544,-249.99986,-250.0,147.13432,12.29211,9.759568,176.6531,181.6655,-0.492195,-0.818029,13.670696,2227.9165
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.501804E8,2.501804E8,2.50180416E8,2.50180416E8,2.50180464E8,2.50180496E8,63.991264,-22.605257,147.1451,0.053205,4.894946,163.5227,-1.074269,24.75493,0.006885,0.257836,24.617893,140.3607,-247.53464,4.895103,0.053052,4.895103,0.053052,-249.99986,-250.0,147.1451,12.422,9.735582,176.43495,181.50595,-0.501499,-0.827007,20.406567,2231.109
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.501804E8,2.501804E8,2.50180416E8,2.50180416E8,2.50180464E8,2.50180496E8,63.99126,-22.605253,147.15324,0.054788,4.893296,163.35802,-1.037631,24.90615,0.006883,0.259517,24.76888,140.36862,-247.52672,4.893466,0.054627,4.893466,0.054627,-249.99986,-250.0,147.15324,12.520046,9.805994,176.2704,181.38544,-0.511086,-0.833695,19.717358,2233.3906
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.501804E8,2.501804E8,2.50180416E8,2.50180416E8,2.50180464E8,2.50180496E8,63.991257,-22.60525,147.16283,0.056675,4.891268,163.16489,-0.995264,25.082888,0.00688,0.261481,24.94572,140.37767,-247.51767,4.891446,0.05651,4.891446,0.05651,-249.99986,-250.0,147.16283,12.635111,9.88677,176.07745,181.24391,-0.52076,-0.841448,13.60415,2235.937
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.501804E8,2.501804E8,2.50180416E8,2.50180416E8,2.50180464E8,2.50180496E8,63.99125,-22.605247,147.16971,0.058038,4.88978,163.0263,-0.965248,25.209326,0.006879,0.262912,25.071836,140.38419,-247.51115,4.889959,0.057874,4.889959,0.057874,-249.99986,-250.0,147.16971,12.717745,9.936215,175.93867,181.14221,-0.525622,-0.846951,17.08978,2237.6833
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.501804E8,2.501804E8,2.50180416E8,2.50180416E8,2.50180464E8,2.50180496E8,63.991245,-22.605244,147.17802,0.059687,4.887959,162.85936,-0.929484,25.36125,0.006877,0.264603,25.223473,140.39223,-247.50313,4.888142,0.059522,4.888142,0.059522,-249.99986,-250.0,147.17802,12.81739,10.004546,175.77179,181.01949,-0.530499,-0.853512,14.941998,2239.7024
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.501804E8,2.501804E8,2.50180416E8,2.50180416E8,2.50180464E8,2.50180496E8,63.99124,-22.60524,147.18636,0.060784,4.886293,162.69168,-0.894078,25.51342,0.006841,0.264999,25.375425,140.40025,-247.49509,4.886443,0.060716,4.886443,0.060716,-249.99986,-250.0,147.18636,12.917563,10.038897,175.60426,180.896,-0.540391,-0.860049,14.518916,2241.6416
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.501804E8,2.501804E8,2.50180416E8,2.50180416E8,2.50180464E8,2.50180496E8,63.991234,-22.605238,147.19472,0.061289,4.885029,162.52332,-0.859305,25.665773,0.00684,0.266715,25.5276,140.40828,-247.48706,4.885149,0.061241,4.885149,0.061241,-249.99986,-250.0,147.19472,13.01826,10.063685,175.43604,180.77177,-0.545364,-0.866548,14.445098,2243.5046
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.501804E8,2.501804E8,2.50180416E8,2.50180416E8,2.50180464E8,2.50180496E8,63.99123,-22.605234,147.20172,0.061673,4.884091,162.38252,-0.830486,25.79287,0.006838,0.268114,25.65479,140.41481,-247.48053,4.884202,0.061628,4.884202,0.061628,-249.99986,-250.0,147.20172,13.102572,10.118029,175.29535,180.66766,-0.555283,-0.871922,19.15655,2245.002
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.501804E8,2.501804E8,2.50180416E8,2.50180416E8,2.50180464E8,2.50180496E8,63.991226,-22.605232,147.20877,0.062034,4.883179,162.2413,-0.801814,25.920084,0.006836,0.269508,25.78163,140.42146,-247.47389,4.883289,0.061991,4.883289,0.061991,-249.99986,-250.0,147.20877,13.187243,10.173378,175.15422,180.56302,-0.560235,-0.877255,14.314885,2246.4504
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.501804E8,2.501804E8,2.50180416E8,2.50180416E8,2.50180464E8,2.50180496E8,63.99122,-22.605227,147.22156,0.062624,4.881524,161.98607,-0.750589,26.14934,0.006833,0.272042,26.010635,140.4333,-247.46204,4.881637,0.062586,4.881637,0.062586,-249.99986,-250.0,147.22156,13.340553,10.273141,174.89919,180.37332,-0.5701,-0.886747,19.508543,2248.9424
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.501804E8,2.501804E8,2.50180416E8,2.50180416E8,2.50180464E8,2.50180496E8,63.991215,-22.605223,147.22871,0.062926,4.880575,161.84373,-0.722345,26.276846,0.006831,0.273428,26.137724,140.44017,-247.45517,4.880689,0.062891,4.880689,0.062891,-249.99986,-250.0,147.22871,13.426222,10.329429,174.75656,180.26718,-0.57502,-0.891957,14.901141,2250.2654
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.501804E8,2.501804E8,2.50180416E8,2.50180416E8,2.50180464E8,2.50180496E8,63.99121,-22.605219,147.23737,0.063267,4.879409,161.67245,-0.688662,26.429972,0.006829,0.275125,26.290524,140.44856,-247.44678,4.879526,0.063234,4.879526,0.063234,-249.99986,-250.0,147.23737,13.52949,10.393534,174.58539,180.13908,-0.584828,-0.898147,15.305563,2251.7983
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.501804E8,2.501804E8,2.50180416E8,2.50180416E8,2.50180464E8,2.50180496E8,63.991203,-22.605215,147.24751,0.063637,4.878013,161.472,-0.649654,26.608772,0.006825,0.27705,26.469343,140.45816,-247.43718,4.878133,0.063606,4.878133,0.063606,-249.99986,-250.0,147.24751,13.650603,10.473035,174.38506,179.98863,-0.594593,-0.90528,19.968994,2253.5151
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.501804E8,2.501804E8,2.50180416E8,2.50180416E8,2.50180464E8,2.50180496E8,63.9912,-22.605211,147.2548,0.063879,4.876991,161.3284,-0.62199,26.73658,0.006823,0.278431,26.596766,140.46506,-247.43028,4.877114,0.06385,4.877114,0.06385,-249.99986,-250.0,147.2548,13.73753,10.53023,174.24156,179.8805,-0.599457,-0.910314,15.100595,2254.6963
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.501804E8,2.501804E8,2.50180416E8,2.50180416E8,2.50180464E8,2.50180496E8,63.99119,-22.605207,147.26509,0.064194,4.875526,161.12686,-0.583542,26.91563,0.00682,0.280395,26.776005,140.4744,-247.42094,4.875654,0.064167,4.875654,0.064167,-249.99986,-250.0,147.26509,13.859805,10.604699,174.04013,179.72815,-0.60915,-0.917275,19.352737,2256.29
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.501804E8,2.501804E8,2.50180416E8,2.50180416E8,2.50180464E8,2.50180496E8,63.991188,-22.605204,147.27248,0.064402,4.874457,160.98253,-0.556273,27.043602,0.006817,0.281746,26.903173,140.48152,-247.41382,4.874586,0.064377,4.874586,0.064377,-249.99986,-250.0,147.27248,13.947555,10.660686,173.8959,179.61867,-0.613974,-0.922183,15.506207,2257.3875
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.501804E8,2.501804E8,2.50180416E8,2.50180416E8,2.50180464E8,2.50180496E8,63.991184,-22.6052,147.28139,0.064631,4.873154,160.80898,-0.523782,27.197247,0.006815,0.283429,27.056433,140.49023,-247.4051,4.873286,0.064609,4.873286,0.064609,-249.99986,-250.0,147.28139,14.053301,10.728514,173.72244,179.48653,-0.618786,-0.928,16.037703,2258.6619
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.501804E8,2.501804E8,2.50180416E8,2.50180416E8,2.50180464E8,2.50180496E8,63.991177,-22.605196,147.29036,0.064835,4.871826,160.63504,-0.491531,27.350967,0.006811,0.285051,27.20993,140.49889,-247.39645,4.871958,0.064816,4.871958,0.064816,-249.99986,-250.0,147.29036,14.159532,10.79812,173.54819,179.35356,-0.628365,-0.933736,16.03439,2259.8918
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.501804E8,2.501804E8,2.50180416E8,2.50180416E8,2.50180464E8,2.50180496E8,63.991173,-22.60519,147.2994,0.06502,4.870472,160.46074,-0.459528,27.50476,0.006809,0.286707,27.363478,140.50752,-247.38782,4.870607,0.065003,4.870607,0.065003,-249.99986,-250.0,147.2994,14.266243,10.863499,173.37398,179.21974,-0.633128,-0.939389,16.013681,2261.0796
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.501804E8,2.501804E8,2.50180416E8,2.50180416E8,2.50180464E8,2.50180496E8,63.991165,-22.605186,147.30847,0.065185,4.869092,160.2861,-0.427776,27.658613,0.006806,0.288383,27.517063,140.51617,-247.37918,4.869229,0.065169,4.869229,0.065169,-249.99986,-250.0,147.30847,14.373431,10.92398,173.19943,179.08508,-0.642605,-0.944958,16.039032,2262.227
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.501804E8,2.501804E8,2.50180416E8,2.50180416E8,2.50180464E8,2.50180496E8,63.99116,-22.605183,147.31761,0.065323,4.867689,160.11115,-0.396268,27.812525,0.006803,0.290011,27.670687,140.52484,-247.3705,4.867829,0.06531,4.867829,0.06531,-249.99986,-250.0,147.31761,14.481091,10.991204,173.02458,178.94957,-0.647317,-0.95044,16.103077,2263.3362
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.501804E8,2.501804E8,2.50180416E8,2.50180416E8,2.50180464E8,2.50180496E8,63.991158,-22.605179,147.3268,0.065437,4.866263,159.93591,-0.365009,27.966484,0.006799,0.291642,27.824347,140.53355,-247.36179,4.866406,0.065426,4.866406,0.065426,-249.99986,-250.0,147.3268,14.589221,11.059603,172.84943,178.8132,-0.656682,-0.955835,16.191896,2264.4092
0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.501804E8,2.501804E8,2.50180416E8,2.50180416E8,2.50180464E8,2.50180496E8,63.99115,-22.605173,147.33604,0.065527,4.864815,159.7604,-0.334001,28.120487,0.006796,0.293273,27.978039,140.54231,-247.35303,4.86496,0.065519,4.86496,0.065519,-249.99986,-250.0,147.33604,14.697815,11.126289,172.67401,178.67598,-0.661334,-0.96114,16.295465,2265.4475
