aileron,elevator,rudder,flaps,slats,speedbrake,throttle,engine-pump0,engine-pump1,electric-pump0,electric-pump1,external-power,APU-generator,latitude-deg,longitude-deg,altitude-ft,roll-deg,pitch-deg,heading-deg,side-slip-deg,airspeed-kt,glideslope,vertical-speed-fps,airspeed-indicator_indicated-speed-kt,altimeter_indicated-altitude-ft,altimeter_pressure-alt-ft,attitude-indicator_indicated-pitch-deg,attitude-indicator_indicated-roll-deg,attitude-indicator_internal-pitch-deg,attitude-indicator_internal-roll-deg,encoder_indicated-altitude-ft,encoder_pressure-alt-ft,gps_indicated-altitude-ft,gps_indicated-ground-speed-kt,gps_indicated-vertical-speed,indicated-heading-offset-deg,indicated-heading-deg,magnetic-compass_indicated-heading-deg,slip-skid-ball_indicated-slip-skid,turn-indicator_indicated-turn-rate,vertical-speed-indicator_indicated-speed-fpm,engine_rpm
0.0,0.0,0.44,0.0,0.0,0.0,1.0,1.62050864E8,1.62050864E8,1.6205088E8,1.6205088E8,1.62050928E8,1.6205096E8,63.98323,-22.584742,157.26607,4.149143,-2.59201,80.30189,68.92329,2.964728,-4.29E-4,-9.0E-6,0.0,149.94696,-237.94838,-2.591996,24.496462,-2.591996,24.496462,-239.99986,-240.0,157.26607,0.016474,-0.116469,12.868054,93.16968,64.52487,-0.899808,0.005437,-13.530855,2309.9583
0.0,0.0,0.44,0.0,0.0,0.0,1.0,1.62050864E8,1.62050864E8,1.6205088E8,1.6205088E8,1.62050928E8,1.6205096E8,63.98323,-22.584742,157.26602,4.149936,-2.592005,80.3034,68.922195,2.964708,-7.97E-4,-1.6E-5,0.0,149.94693,-237.94841,-2.591995,24.482262,-2.591995,24.482262,-239.99986,-240.0,157.26602,0.016442,-0.117207,12.868054,93.17118,64.50258,-0.899679,0.005434,-13.732903,2309.958
0.0,0.0,0.44,0.0,0.0,0.0,1.0,1.62050864E8,1.62050864E8,1.6205088E8,1.6205088E8,1.62050928E8,1.6205096E8,63.98323,-22.584742,157.26598,4.150708,-2.591936,80.3049,68.92117,2.964696,-0.001363,-2.8E-5,0.0,149.94688,-237.94846,-2.591929,24.468021,-2.591929,24.468021,-239.99986,-240.0,157.26598,0.01641,-0.119353,12.868054,93.17268,64.480515,-0.89954,0.005431,-13.93322,2309.9578
0.0,0.0,0.44,0.0,0.0,0.0,1.0,1.62050864E8,1.62050864E8,1.6205088E8,1.6205088E8,1.62050928E8,1.6205096E8,63.98323,-22.584742,157.26593,4.151454,-2.591789,80.30641,68.92006,2.96468,-6.26E-4,-1.3E-5,0.0,149.94684,-237.9485,-2.591787,24.453773,-2.591787,24.453773,-239.99986,-240.0,157.26593,0.016378,-0.118146,12.868054,93.174194,64.45872,-0.899407,0.005428,-14.134038,2309.9575
0.0,0.0,0.44,0.0,0.0,0.0,1.0,1.62050864E8,1.62050864E8,1.6205088E8,1.6205088E8,1.62050928E8,1.6205096E8,63.98323,-22.584742,157.26588,4.152174,-2.591574,80.30792,68.91889,2.964663,-0.001177,-2.4E-5,0.0,149.9468,-237.94855,-2.591574,24.439497,-2.591574,24.439497,-239.99986,-240.0,157.26588,0.016346,-0.118615,12.868054,93.175705,64.43723,-0.899287,0.005425,-14.33296,2309.9573
0.0,0.0,0.44,0.0,0.0,0.0,1.0,1.62050864E8,1.62050864E8,1.6205088E8,1.6205088E8,1.62050928E8,1.6205096E8,63.98323,-22.584742,157.26582,4.152849,-2.591289,80.30944,68.917755,2.96464,-9.53E-4,-1.9E-5,0.0,149.94676,-237.94858,-2.591293,24.425179,-2.591293,24.425179,-239.99986,-240.0,157.26582,0.016314,-0.118783,12.868054,93.17722,64.41611,-0.899155,0.005422,-14.521832,2309.957
0.0,0.0,0.44,0.0,0.0,0.0,1.0,1.62050864E8,1.62050864E8,1.6205088E8,1.6205088E8,1.62050928E8,1.6205096E8,63.98323,-22.584742,157.26578,4.153482,-2.59094,80.31096,68.91658,2.964621,-0.001215,-2.5E-5,0.0,149.94672,-237.94862,-2.590946,24.410803,-2.590946,24.410803,-239.99986,-240.0,157.26578,0.016282,-0.119219,12.868054,93.17874,64.395355,-0.899039,0.005418,-14.716123,2309.9568
0.0,0.0,0.44,0.0,0.0,0.0,1.0,1.62050864E8,1.62050864E8,1.6205088E8,1.6205088E8,1.62050928E8,1.6205096E8,63.98323,-22.584742,157.26573,4.154087,-2.590523,80.31248,68.91547,2.964608,-6.64E-4,-1.3E-5,0.0,149.94667,-237.94867,-2.590533,24.396412,-2.590533,24.396412,-239.99986,-240.0,157.26573,0.01625,-0.116804,12.868054,93.18026,64.37504,-0.898918,0.005414,-14.920319,2309.9565
0.0,0.0,0.44,0.0,0.0,0.0,1.0,1.62050864E8,1.62050864E8,1.6205088E8,1.6205088E8,1.62050928E8,1.6205096E8,63.98323,-22.584742,157.26569,4.154673,-2.590035,80.313995,68.91439,2.964594,-6.87E-4,-1.4E-5,0.0,149.94662,-237.94872,-2.590048,24.382002,-2.590048,24.382002,-239.99986,-240.0,157.26569,0.016218,-0.118884,12.868054,93.181786,64.35518,-0.898819,0.00541,-15.114596,2309.9563
0.0,0.0,0.44,0.0,0.0,0.0,1.0,1.62050864E8,1.62050864E8,1.6205088E8,1.6205088E8,1.62050928E8,1.6205096E8,63.98323,-22.584742,157.26564,4.155226,-2.589469,80.31552,68.91328,2.964573,-5.73E-4,-1.2E-5,0.0,149.94658,-237.94876,-2.589487,24.367561,-2.589487,24.367561,-239.99986,-240.0,157.26564,0.016185,-0.118649,12.868054,93.183304,64.335815,-0.898718,0.005406,-15.304523,2309.956
