aileron,elevator,rudder,flaps,slats,speedbrake,throttle,engine-pump0,engine-pump1,electric-pump0,electric-pump1,external-power,APU-generator,latitude-deg,longitude-deg,altitude-ft,roll-deg,pitch-deg,heading-deg,side-slip-deg,airspeed-kt,glideslope,vertical-speed-fps,airspeed-indicator_indicated-speed-kt,altimeter_indicated-altitude-ft,altimeter_pressure-alt-ft,attitude-indicator_indicated-pitch-deg,attitude-indicator_indicated-roll-deg,attitude-indicator_internal-pitch-deg,attitude-indicator_internal-roll-deg,encoder_indicated-altitude-ft,encoder_pressure-alt-ft,gps_indicated-altitude-ft,gps_indicated-ground-speed-kt,gps_indicated-vertical-speed,indicated-heading-offset-deg,indicated-heading-deg,magnetic-compass_indicated-heading-deg,slip-skid-ball_indicated-slip-skid,turn-indicator_indicated-turn-rate,vertical-speed-indicator_indicated-speed-fpm,engine_rpm
0.01,0.11,0.0,0.0,0.0,0.0,1.0,2.391736E7,2.391736E7,2.3917376E7,2.3917376E7,2.3917424E7,2.3917456E7,63.95952,-22.47768,2356.4624,17.539267,4.097346,206.478,0.249139,113.94217,0.079629,15.462893,113.82042,2214.3777,1889.5682,4.097428,17.538013,4.097428,17.538013,1890.0001,1890.0,2356.4624,113.70994,900.50214,12.869504,219.32973,245.86722,-0.114403,0.910316,874.90936,2768.3076
0.01,0.11,0.0,0.0,0.0,0.0,1.0,2.391736E7,2.391736E7,2.3917376E7,2.3917376E7,2.3917424E7,2.3917456E7,63.959473,-22.477737,2357.9631,17.56511,4.095655,206.75516,0.249453,113.95261,0.079588,15.458393,113.830315,2215.857,1891.0476,4.095738,17.563856,4.095738,17.563856,1890.0001,1890.0,2357.9631,113.73167,900.2991,12.869504,219.60686,246.01987,-0.11451,0.911624,874.8309,2768.3677
0.01,0.11,0.0,0.0,0.0,0.0,1.0,2.391736E7,2.391736E7,2.3917376E7,2.3917376E7,2.3917424E7,2.3917456E7,63.959427,-22.477797,2359.4634,17.590975,4.093953,207.03271,0.249769,113.96301,0.079546,15.453844,113.842545,2217.3323,1892.5228,4.094036,17.58972,4.094036,17.58972,1890.0001,1890.0,2359.4634,113.753494,900.09393,12.869504,219.8844,246.1725,-0.114616,0.912933,874.4657,2768.4275
0.01,0.11,0.0,0.0,0.0,0.0,1.0,2.391736E7,2.391736E7,2.3917376E7,2.3917376E7,2.3917424E7,2.3917456E7,63.95938,-22.477854,2360.9634,17.616861,4.092239,207.31067,0.250084,113.97339,0.079504,15.449244,113.85142,2218.8179,1894.0084,4.092322,17.615606,4.092322,17.615606,1890.0001,1890.0,2360.9634,113.775406,899.88654,12.869504,220.16232,246.32512,-0.114723,0.914243,874.85016,2768.4873
0.01,0.11,0.0,0.0,0.0,0.0,1.0,2.391736E7,2.391736E7,2.3917376E7,2.3917376E7,2.3917424E7,2.3917456E7,63.959335,-22.477913,2362.463,17.64277,4.090511,207.58902,0.2504,113.98374,0.079462,15.444592,113.86188,2220.291,1895.4816,4.090596,17.641514,4.090596,17.641514,1890.0001,1890.0,2362.463,113.79742,899.67676,12.869504,220.44064,246.47774,-0.11483,0.915555,874.3825,2768.5469
0.01,0.11,0.0,0.0,0.0,0.0,1.0,2.391736E7,2.391736E7,2.3917376E7,2.3917376E7,2.3917424E7,2.3917456E7,63.95929,-22.477972,2363.9622,17.6687,4.08877,207.86775,0.250717,113.994026,0.079419,15.439884,113.87689,2221.7615,1896.9521,4.088855,17.66744,4.088855,17.66744,1900.0001,1900.0,2363.9622,113.81951,899.46454,12.869504,220.71936,246.63036,-0.114937,0.916866,873.74536,2768.6067
0.01,0.11,0.0,0.0,0.0,0.0,1.0,2.391736E7,2.391736E7,2.3917376E7,2.3917376E7,2.3917424E7,2.3917456E7,63.95924,-22.478031,2365.4612,17.694647,4.087015,208.1469,0.251034,114.00437,0.079376,15.435119,113.88227,2223.24,1898.4305,4.087101,17.693388,4.087101,17.693388,1900.0001,1900.0,2365.4612,113.841705,899.2495,12.869504,220.99847,246.78296,-0.115044,0.918179,873.7476,2768.666
0.01,0.11,0.0,0.0,0.0,0.0,1.0,2.391736E7,2.391736E7,2.3917376E7,2.3917376E7,2.3917424E7,2.3917456E7,63.959194,-22.478092,2366.9597,17.720617,4.085244,208.42642,0.251351,114.01465,0.079332,15.430292,113.8929,2224.7227,1899.9133,4.08533,17.719357,4.08533,17.719357,1900.0001,1900.0,2366.9597,113.86399,899.03186,12.869504,221.27798,246.93558,-0.115151,0.919493,874.04724,2768.7256
0.01,0.11,0.0,0.0,0.0,0.0,1.0,2.391736E7,2.391736E7,2.3917376E7,2.3917376E7,2.3917424E7,2.3917456E7,63.95915,-22.478153,2368.4578,17.746607,4.083458,208.70636,0.251669,114.0249,0.079288,15.425404,113.90324,2226.1938,1901.3845,4.083545,17.745346,4.083545,17.745346,1900.0001,1900.0,2368.4578,113.88637,898.81116,12.869504,221.55788,247.0882,-0.115259,0.920807,873.5489,2768.785
0.01,0.11,0.0,0.0,0.0,0.0,1.0,2.391736E7,2.391736E7,2.3917376E7,2.3917376E7,2.3917424E7,2.3917456E7,63.959103,-22.478214,2369.9558,17.772615,4.081655,208.98668,0.251988,114.03513,0.079244,15.42045,113.913605,2227.6736,1902.8643,4.081743,17.771355,4.081743,17.771355,1900.0001,1900.0,2369.9558,113.90883,898.58734,12.869504,221.83818,247.24081,-0.115367,0.922122,873.6743,2768.844
0.01,0.11,0.0,0.0,0.0,0.0,1.0,2.391736E7,2.391736E7,2.3917376E7,2.3917376E7,2.3917424E7,2.3917456E7,63.959057,-22.478277,2371.4531,17.798645,4.079835,209.2674,0.252307,114.04534,0.079199,15.41543,113.923805,2229.143,1904.3337,4.079924,17.797382,4.079924,17.797382,1900.0001,1900.0,2371.4531,113.93139,898.36035,12.869504,222.11888,247.39345,-0.115474,0.923438,873.11615,2768.903
0.01,0.11,0.0,0.0,0.0,0.0,1.0,2.391736E7,2.391736E7,2.3917376E7,2.3917376E7,2.3917424E7,2.3917456E7,63.959015,-22.478338,2372.9502,17.824694,4.077997,209.54851,0.252626,114.05553,0.079154,15.41034,113.934105,2230.6218,1905.8124,4.078086,17.82343,4.078086,17.82343,1900.0001,1900.0,2372.9502,113.95405,898.13,12.869504,222.39996,247.54611,-0.115583,0.924755,873.22125,2768.9622
0.01,0.11,0.0,0.0,0.0,0.0,1.0,2.391736E7,2.391736E7,2.3917376E7,2.3917376E7,2.3917424E7,2.3917456E7,63.95897,-22.478401,2374.4468,17.85076,4.07614,209.83003,0.252946,114.06569,0.079109,15.405178,113.94425,2232.0903,1907.2809,4.076231,17.849495,4.076231,17.849495,1910.0001,1910.0,2374.4468,113.97679,897.89624,12.869504,222.68146,247.69878,-0.115691,0.926073,872.65625,2769.0212
0.01,0.11,0.0,0.0,0.0,0.0,1.0,2.391736E7,2.391736E7,2.3917376E7,2.3917376E7,2.3917424E7,2.3917456E7,63.958923,-22.478466,2375.943,17.876846,4.074265,210.11194,0.253266,114.07583,0.079063,15.399942,113.954506,2233.568,1908.7585,4.074356,17.875582,4.074356,17.875582,1910.0001,1910.0,2375.943,113.999626,897.65875,12.869504,222.96333,247.85147,-0.115799,0.927391,872.75867,2769.08
0.01,0.11,0.0,0.0,0.0,0.0,1.0,2.391736E7,2.391736E7,2.3917376E7,2.3917376E7,2.3917424E7,2.3917456E7,63.958878,-22.478529,2377.439,17.90295,4.072369,210.39424,0.253586,114.08595,0.079017,15.39463,113.96485,2235.0422,1910.2328,4.072461,17.901684,4.072461,17.901684,1910.0001,1910.0,2377.439,114.02255,897.41754,12.869504,223.24562,248.00418,-0.115908,0.928711,872.618,2769.1387
0.01,0.11,0.0,0.0,0.0,0.0,1.0,2.391736E7,2.391736E7,2.3917376E7,2.3917376E7,2.3917424E7,2.3917456E7,63.95883,-22.478594,2378.9346,17.929073,4.070453,210.67694,0.253907,114.096054,0.07897,15.389239,113.97507,2236.5146,1911.7053,4.070546,17.927807,4.070546,17.927807,1910.0001,1910.0,2378.9346,114.04558,897.1724,12.869504,223.5283,248.15692,-0.116017,0.930031,872.3939,2769.1975
0.01,0.11,0.0,0.0,0.0,0.0,1.0,2.391736E7,2.391736E7,2.3917376E7,2.3917376E7,2.3917424E7,2.3917456E7,63.958786,-22.478659,2380.4297,17.955215,4.068516,210.96005,0.254228,114.106094,0.078923,15.383768,113.98948,2237.969,1913.1595,4.06861,17.953947,4.06861,17.953947,1910.0001,1910.0,2380.4297,114.06869,896.9232,12.869504,223.81137,248.30971,-0.116126,0.931351,870.94135,2769.256
0.01,0.11,0.0,0.0,0.0,0.0,1.0,2.391736E7,2.391736E7,2.3917376E7,2.3917376E7,2.3917424E7,2.3917456E7,63.958744,-22.478725,2381.9243,17.981375,4.066557,211.24355,0.254549,114.116196,0.078875,15.378215,113.9947,2239.4514,1914.642,4.066652,17.980104,4.066652,17.980104,1910.0001,1910.0,2381.9243,114.091896,896.6699,12.869504,224.09485,248.46251,-0.116235,0.932673,871.5598,2769.3147
0.01,0.11,0.0,0.0,0.0,0.0,1.0,2.391736E7,2.391736E7,2.3917376E7,2.3917376E7,2.3917424E7,2.3917456E7,63.9587,-22.478792,2383.4185,18.007551,4.064576,211.52745,0.254871,114.12624,0.078827,15.372577,114.00666,2240.9167,1916.1073,4.064672,18.00628,4.064672,18.00628,1910.0001,1910.0,2383.4185,114.1152,896.4124,12.869504,224.37872,248.61534,-0.116344,0.933995,870.958,2769.373
0.01,0.11,0.0,0.0,0.0,0.0,1.0,2.391736E7,2.391736E7,2.3917376E7,2.3917376E7,2.3917424E7,2.3917456E7,63.958652,-22.478859,2384.9124,18.033745,4.062572,211.81174,0.255193,114.13628,0.078778,15.366852,114.01469,2242.3887,1917.5793,4.062669,18.032475,4.062669,18.032475,1920.0001,1920.0,2384.9124,114.138596,896.1505,12.869504,224.663,248.76822,-0.116453,0.935318,870.9087,2769.4314
0.01,0.11,0.0,0.0,0.0,0.0,1.0,2.391736E7,2.391736E7,2.3917376E7,2.3917376E7,2.3917424E7,2.3917456E7,63.95861,-22.478926,2386.4055,18.059956,4.060544,212.09644,0.255516,114.146286,0.078729,15.361039,114.024956,2243.858,1919.0486,4.060643,18.058683,4.060643,18.058683,1920.0001,1920.0,2386.4055,114.16208,895.88416,12.869504,224.94766,248.92114,-0.116563,0.936641,870.67346,2769.4897
0.01,0.11,0.0,0.0,0.0,0.0,1.0,2.391736E7,2.391736E7,2.3917376E7,2.3917376E7,2.3917424E7,2.3917456E7,63.958565,-22.478994,2387.8984,18.086184,4.058492,212.38153,0.255839,114.15628,0.07868,15.355135,114.03499,2245.327,1920.5176,4.058592,18.084911,4.058592,18.084911,1920.0001,1920.0,2387.8984,114.18566,895.61316,12.869504,225.23273,249.0741,-0.116672,0.937966,870.4505,2769.5479
0.01,0.11,0.0,0.0,0.0,0.0,1.0,2.391736E7,2.391736E7,2.3917376E7,2.3917376E7,2.3917424E7,2.3917456E7,63.958523,-22.479061,2389.3909,18.112429,4.056415,212.667,0.256162,114.16626,0.07863,15.349139,114.04552,2246.794,1921.9844,4.056516,18.111155,4.056516,18.111155,1920.0001,1920.0,2389.3909,114.209335,895.3374,12.869504,225.51819,249.2271,-0.116782,0.939291,870.0957,2769.606
0.01,0.11,0.0,0.0,0.0,0.0,1.0,2.391736E7,2.391736E7,2.3917376E7,2.3917376E7,2.3917424E7,2.3917456E7,63.958477,-22.479132,2390.8828,18.138689,4.054313,212.9529,0.256485,114.17623,0.078579,15.343048,114.05496,2248.263,1923.4536,4.054415,18.137415,4.054415,18.137415,1920.0001,1920.0,2390.8828,114.2331,895.0569,12.869504,225.80405,249.38014,-0.116892,0.940616,869.9565,2769.664
0.01,0.11,0.0,0.0,0.0,0.0,1.0,2.391736E7,2.391736E7,2.3917376E7,2.3917376E7,2.3917424E7,2.3917456E7,63.95844,-22.479195,2392.2502,18.162777,4.052363,213.21532,0.256781,114.1854,0.078532,15.33738,114.06474,2249.603,1924.7936,4.052467,18.1615,4.052467,18.1615,1920.0001,1920.0,2392.2502,114.25497,894.7953,12.869504,226.06644,249.52048,-0.116966,0.941832,869.3804,2769.7173
0.01,0.11,0.0,0.0,0.0,0.0,1.0,2.391736E7,2.391736E7,2.3917376E7,2.3917376E7,2.3917424E7,2.3917456E7,63.95839,-22.47927,2393.8655,18.19126,4.050031,213.52588,0.257132,114.19608,0.078476,15.330576,114.07874,2251.1794,1926.3699,4.050136,18.189983,4.050136,18.189983,1930.0001,1930.0,2393.8655,114.28092,894.4807,12.869504,226.37697,249.68639,-0.117112,0.94327,868.3033,2769.78
